Academics Plus School District,12345, 3rd Grade Literacy , All Students Percentage of Students ,2014-2015,12.31,35.39,47.69,4.62
Academics Plus School District,12345, 6th Grade Math , Caucasian ,2014-2015,8.33,47.92,41.67,2.08
Academics Plus School District,12345, 6th Grade Math , Caucasian ,2015-2016,7.55,24.53,33.96,33.96
Academics Plus School District,12345, 6th Grade Math , Caucasian ,2016-2017,62.31,5.08,38.98,33.90
Academics Plus School District,12345, 6th Grade Math , Economically Disadvantaged ,2014-2015,14.29,78.57,7.14,0.00
Academics Plus School District,12345, 6th Grade Math , Economically Disadvantaged ,2015-2016,0.00,45.45,18.18,36.36
Academics Plus School District,12345, 6th Grade Math , Economically Disadvantaged ,2016-2017,47.53,12.12,45.45,33.33
Academics Plus School District,12345, 6th Grade Math , Students with Disabilities ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, 6th Grade Math , Students with Disabilities ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 6th Grade Math , Students with Disabilities ,2016-2017,22.29,8.33,75.00,16.67
Academics Plus School District,12345, 6th Grade Math , Limited English Proficient ,2014-2015,---,---,---,---
Academics Plus School District,12345, 6th Grade Math , Limited English Proficient ,2015-2016,---,---,---,---
Academics Plus School District,12345, 6th Grade Math , Limited English Proficient ,2016-2017,---,---,---,---
Academics Plus School District,12345, 6th Grade Math , Female ,2014-2015,6.67,40,53.33,0.00
Academics Plus School District,12345, 6th Grade Math , Female ,2015-2016,8.33,33.33,19.44,38.89
Academics Plus School District,12345, 6th Grade Math , Female ,2016-2017,57.73,4.44,35.56,53.33
Academics Plus School District,12345, 6th Grade Math , Male ,2014-2015,13.51,56.760000000000005,27.03,2.70
Academics Plus School District,12345, 6th Grade Math , Male ,2015-2016,5.26,23.68,44.74,26.32
Academics Plus School District,12345, 6th Grade Math , Male ,2016-2017,53.17,8.16,42.86,20.41
Academics Plus School District,12345, 6th Grade Math , Migrant ,2014-2015,---,---,---,---
Academics Plus School District,12345, 6th Grade Math , Migrant ,2015-2016,---,---,---,---
Academics Plus School District,12345, 6th Grade Math , Migrant ,2016-2017,---,---,---,---
Academics Plus School District,12345, 7th Grade Literacy , All Students Percentage of Students ,2014-2015,8.89,51.11,35.56,4.44
Academics Plus School District,12345, 7th Grade Literacy , All Students Percentage of Students ,2015-2016,20.29,23.19,27.54,28.99
Academics Plus School District,12345, 7th Grade Literacy , All Students Percentage of Students ,2016-2017,49.97,18.84,18.84,23.19
Academics Plus School District,12345, 7th Grade Literacy , All Students Number of Students ,2014-2015,,,,
Academics Plus School District,12345, 7th Grade Literacy , All Students Number of Students ,2015-2016,,,,
Academics Plus School District,12345, 7th Grade Literacy , All Students Number of Students ,2016-2017,,13,13,16
Academics Plus School District,12345, 7th Grade Literacy , TAGG ,2014-2015,23.08,61.54,15.38,0.00
Academics Plus School District,12345, 7th Grade Literacy , TAGG ,2015-2016,35.00,40.00,20.00,5.00
Academics Plus School District,12345, 7th Grade Literacy , TAGG ,2016-2017,38.90,40.00,6.67,20.00
Academics Plus School District,12345, 7th Grade Literacy , African American ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, 7th Grade Literacy , African American ,2015-2016,16.67,33.33,41.67,8.33
Academics Plus School District,12345, 7th Grade Literacy , African American ,2016-2017,30.82,30.00,30.00,10.00
Academics Plus School District,12345, 7th Grade Literacy , Hispanic ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, 7th Grade Literacy , Hispanic ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 7th Grade Literacy , Hispanic ,2016-2017,45.51,RV,RV,RV
Academics Plus School District,12345, 7th Grade Literacy , Caucasian ,2014-2015,6.06,45.45,45.45,3.03
Academics Plus School District,12345, 7th Grade Literacy , Caucasian ,2015-2016,20.41,22.45,20.41,36.73
Academics Plus School District,12345, 7th Grade Literacy , Caucasian ,2016-2017,56.43,16.33,18.37,24.49
Academics Plus School District,12345, 7th Grade Literacy , Economically Disadvantaged ,2014-2015,18.18,63.629999999999995,18.18,0.00
Academics Plus School District,12345, 7th Grade Literacy , Economically Disadvantaged ,2015-2016,18.75,50.00,25.00,6.25
Academics Plus School District,12345, 7th Grade Literacy , Economically Disadvantaged ,2016-2017,39.76,18.18,9.09,27.27
Academics Plus School District,12345, 7th Grade Literacy , Students with Disabilities ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, 7th Grade Literacy , Students with Disabilities ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 7th Grade Literacy , Students with Disabilities ,2016-2017,14.38,RV,RV,RV
Academics Plus School District,12345, 7th Grade Literacy , Limited English Proficient ,2014-2015,---,---,---,---
Academics Plus School District,12345, 7th Grade Literacy , Limited English Proficient ,2015-2016,---,---,---,---
Academics Plus School District,12345, 7th Grade Literacy , Limited English Proficient ,2016-2017,---,---,---,---
Academics Plus School District,12345, 7th Grade Literacy ,Number of recently arrived LEP students not assessed in 7th Grade Literacy ,2014-2015,,---,---,
Academics Plus School District,12345, 7th Grade Literacy ,Number of recently arrived LEP students not assessed in 7th Grade Literacy ,2015-2016,,,,
Academics Plus School District,12345, 7th Grade Literacy ,Number of recently arrived LEP students not assessed in 7th Grade Literacy ,2016-2017,,,,
Academics Plus School District,12345, 7th Grade Literacy , Female ,2014-2015,0.00,45,45.00,10.00
Academics Plus School District,12345, 7th Grade Literacy , Female ,2015-2016,15.15,15.15,30.30,39.39
Academics Plus School District,12345, 7th Grade Literacy , Female ,2016-2017,58.06,12.12,15.15,21.21
Academics Plus School District,12345, 7th Grade Literacy , Male ,2014-2015,16.00,56,28.00,0.00
Academics Plus School District,12345, 7th Grade Literacy , Male ,2015-2016,25.00,30.56,25.00,19.44
Academics Plus School District,12345, 7th Grade Literacy , Male ,2016-2017,42.50,25.00,22.22,25.00
Academics Plus School District,12345, 7th Grade Literacy , Migrant ,2014-2015,---,---,---,---
Academics Plus School District,12345, 7th Grade Literacy , Migrant ,2015-2016,---,---,---,---
Academics Plus School District,12345, 7th Grade Literacy , Migrant ,2016-2017,---,---,---,---
Academics Plus School District,12345, 7th Grade Math , All Students Percentage of Students ,2014-2015,2.78,88.89,8.33,0.00
Academics Plus School District,12345, 7th Grade Math , All Students Percentage of Students ,2015-2016,13.04,33.33,33.33,20.29
Academics Plus School District,12345, 7th Grade Math , All Students Percentage of Students ,2016-2017,43.85,17.39,24.64,30.43
Academics Plus School District,12345, 7th Grade Math , All Students Number of Students ,2014-2015,,,,
Academics Plus School District,12345, 7th Grade Math , All Students Number of Students ,2015-2016,,,,
Academics Plus School District,12345, 7th Grade Math , All Students Number of Students ,2016-2017,,12,17,21
Academics Plus School District,12345, 7th Grade Math , TAGG ,2014-2015,0.00,92.31,7.69,0.00
Academics Plus School District,12345, 7th Grade Math , TAGG ,2015-2016,30.00,45.00,20.00,5.00
Academics Plus School District,12345, 7th Grade Math , TAGG ,2016-2017,33.00,40.00,13.33,33.33
Academics Plus School District,12345, 7th Grade Math , African American ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, 7th Grade Math , African American ,2015-2016,16.67,25.00,41.67,16.67
Academics Plus School District,12345, 7th Grade Math , African American ,2016-2017,24.19,30.00,30.00,30.00
Academics Plus School District,12345, 7th Grade Math , Hispanic ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, 7th Grade Math , Hispanic ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 7th Grade Math , Hispanic ,2016-2017,36.32,RV,RV,RV
Academics Plus School District,12345, 7th Grade Math , Caucasian ,2014-2015,4.00,84,12.00,0.00
Academics Plus School District,12345, 7th Grade Math , Caucasian ,2015-2016,12.24,34.69,32.65,20.41
Academics Plus School District,12345, 7th Grade Math , Caucasian ,2016-2017,51.21,16.33,24.49,32.65
Academics Plus School District,12345, 7th Grade Math , Economically Disadvantaged ,2014-2015,0.00,90.91,9.09,0.00
Academics Plus School District,12345, 7th Grade Math , Economically Disadvantaged ,2015-2016,25.00,43.75,25.00,6.25
Academics Plus School District,12345, 7th Grade Math , Economically Disadvantaged ,2016-2017,33.68,18.18,18.18,45.45
Academics Plus School District,12345, 7th Grade Math , Students with Disabilities ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, 7th Grade Math , Students with Disabilities ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 7th Grade Math , Students with Disabilities ,2016-2017,13.69,RV,RV,RV
Academics Plus School District,12345, 7th Grade Math , Limited English Proficient ,2014-2015,---,---,---,---
Academics Plus School District,12345, 7th Grade Math , Limited English Proficient ,2015-2016,---,---,---,---
Academics Plus School District,12345, 7th Grade Math , Limited English Proficient ,2016-2017,---,---,---,---
Academics Plus School District,12345, 7th Grade Math , Female ,2014-2015,0.00,87.5,12.50,0.00
Academics Plus School District,12345, 7th Grade Math , Female ,2015-2016,18.18,18.18,36.36,27.27
Academics Plus School District,12345, 7th Grade Math , Female ,2016-2017,46.28,12.12,24.24,30.30
Academics Plus School District,12345, 7th Grade Math , Male ,2014-2015,5.00,90,5.00,0.00
Academics Plus School District,12345, 7th Grade Math , Male ,2015-2016,8.33,47.22,30.56,13.89
Academics Plus School District,12345, 7th Grade Math , Male ,2016-2017,41.61,22.22,25.00,30.56
Academics Plus School District,12345, 7th Grade Math , Migrant ,2014-2015,---,---,---,---
Academics Plus School District,12345, 7th Grade Math , Migrant ,2015-2016,---,---,---,---
Academics Plus School District,12345, 7th Grade Math , Migrant ,2016-2017,---,---,---,---
Academics Plus School District,12345, 8th Grade Literacy , All Students Percentage of Students ,2014-2015,4.65,39.53,53.49,2.33
Academics Plus School District,12345, 8th Grade Literacy , All Students Percentage of Students ,2015-2016,12.24,30.61,20.41,36.73
Academics Plus School District,12345, 8th Grade Literacy , All Students Percentage of Students ,2016-2017,52.47,5.71,14.29,22.86
Academics Plus School District,12345, 8th Grade Literacy , All Students Number of Students ,2014-2015,,,,
Academics Plus School District,12345, 8th Grade Literacy , All Students Number of Students ,2015-2016,,,,
Academics Plus School District,12345, 8th Grade Literacy , All Students Number of Students ,2016-2017,,4,10,16
Academics Plus School District,12345, 8th Grade Literacy , TAGG ,2014-2015,10.00,70,10.00,10.00
Academics Plus School District,12345, 8th Grade Literacy , TAGG ,2015-2016,40.00,40.00,13.33,6.67
Academics Plus School District,12345, 8th Grade Literacy , TAGG ,2016-2017,40.55,17.65,11.76,35.29
Academics Plus School District,12345, 8th Grade Literacy , African American ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, 8th Grade Literacy , African American ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 8th Grade Literacy , African American ,2016-2017,31.17,9.09,18.18,36.36
Academics Plus School District,12345, 8th Grade Literacy , Hispanic ,2014-2015,---,---,---,---
Academics Plus School District,12345, 8th Grade Literacy , Hispanic ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 8th Grade Literacy , Hispanic ,2016-2017,46.14,RV,RV,RV
Academics Plus School District,12345, 8th Grade Literacy , Caucasian ,2014-2015,5.56,33.339999999999996,58.33,2.78
Academics Plus School District,12345, 8th Grade Literacy , Caucasian ,2015-2016,7.89,26.32,23.68,42.11
Academics Plus School District,12345, 8th Grade Literacy , Caucasian ,2016-2017,60.26,6.00,14.00,18.00
Academics Plus School District,12345, 8th Grade Literacy , Economically Disadvantaged ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, 8th Grade Literacy , Economically Disadvantaged ,2015-2016,25.00,50.00,16.67,8.33
Academics Plus School District,12345, 8th Grade Literacy , Economically Disadvantaged ,2016-2017,41.59,7.14,7.14,42.86
Academics Plus School District,12345, 8th Grade Literacy , Students with Disabilities ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, 8th Grade Literacy , Students with Disabilities ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 8th Grade Literacy , Students with Disabilities ,2016-2017,13.86,RV,RV,RV
Academics Plus School District,12345, 8th Grade Literacy , Limited English Proficient ,2014-2015,---,---,---,---
Academics Plus School District,12345, 8th Grade Literacy , Limited English Proficient ,2015-2016,---,---,---,---
Academics Plus School District,12345, 8th Grade Literacy , Limited English Proficient ,2016-2017,---,---,---,---
Academics Plus School District,12345, 8th Grade Literacy ,Number of recently arrived LEP students not assessed in 8th Grade Literacy ,2014-2015,,---,---,
Academics Plus School District,12345, 8th Grade Literacy ,Number of recently arrived LEP students not assessed in 8th Grade Literacy ,2015-2016,,,,
Academics Plus School District,12345, 8th Grade Literacy ,Number of recently arrived LEP students not assessed in 8th Grade Literacy ,2016-2017,,,,
Academics Plus School District,12345, 8th Grade Literacy , Female ,2014-2015,6.25,18.75,68.75,6.25
Academics Plus School District,12345, 8th Grade Literacy , Female ,2015-2016,8.00,16.00,28.00,48.00
Academics Plus School District,12345, 8th Grade Literacy , Female ,2016-2017,60.71,8.33,11.11,13.89
Academics Plus School District,12345, 8th Grade Literacy , Male ,2014-2015,3.70,51.849999999999994,44.44,0.00
Academics Plus School District,12345, 8th Grade Literacy , Male ,2015-2016,16.67,45.83,12.50,25.00
Academics Plus School District,12345, 8th Grade Literacy , Male ,2016-2017,44.50,2.94,17.65,32.35
Academics Plus School District,12345, 8th Grade Literacy , Migrant ,2014-2015,---,---,---,---
Academics Plus School District,12345, 8th Grade Literacy , Migrant ,2015-2016,---,---,---,---
Academics Plus School District,12345, 8th Grade Literacy , Migrant ,2016-2017,---,---,---,---
Academics Plus School District,12345, 8th Grade Math , All Students Percentage of Students ,2014-2015,26.67,66.66,6.67,0.00
Academics Plus School District,12345, 8th Grade Math , All Students Percentage of Students ,2015-2016,20.41,34.69,24.49,20.41
Academics Plus School District,12345, 8th Grade Math , All Students Percentage of Students ,2016-2017,38.43,25.71,22.86,24.29
Academics Plus School District,12345, 8th Grade Math , All Students Number of Students ,2014-2015,,,,
Academics Plus School District,12345, 8th Grade Math , All Students Number of Students ,2015-2016,,,,
Academics Plus School District,12345, 8th Grade Math , All Students Number of Students ,2016-2017,,18,16,17
Academics Plus School District,12345, 8th Grade Math , TAGG ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, 8th Grade Math , TAGG ,2015-2016,26.67,46.67,26.67,0.00
Academics Plus School District,12345, 8th Grade Math , TAGG ,2016-2017,27.41,41.18,29.41,23.53
Academics Plus School District,12345, 8th Grade Math , African American ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, 8th Grade Math , African American ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 8th Grade Math , African American ,2016-2017,16.19,36.36,36.36,9.09
Academics Plus School District,12345, 8th Grade Math , Hispanic ,2014-2015,---,---,---,---
Academics Plus School District,12345, 8th Grade Math , Hispanic ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 8th Grade Math , Hispanic ,2016-2017,32.22,RV,RV,RV
Academics Plus School District,12345, 8th Grade Math , Caucasian ,2014-2015,27.27,63.629999999999995,9.09,0.00
Academics Plus School District,12345, 8th Grade Math , Caucasian ,2015-2016,21.05,28.95,28.95,21.05
Academics Plus School District,12345, 8th Grade Math , Caucasian ,2016-2017,46.35,24.00,20.00,28.00
Academics Plus School District,12345, 8th Grade Math , Economically Disadvantaged ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, 8th Grade Math , Economically Disadvantaged ,2015-2016,16.67,50.00,33.33,0.00
Academics Plus School District,12345, 8th Grade Math , Economically Disadvantaged ,2016-2017,27.99,28.57,35.71,28.57
Academics Plus School District,12345, 8th Grade Math , Students with Disabilities ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, 8th Grade Math , Students with Disabilities ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 8th Grade Math , Students with Disabilities ,2016-2017,12.62,RV,RV,RV
Academics Plus School District,12345, 8th Grade Math , Limited English Proficient ,2014-2015,---,---,---,---
Academics Plus School District,12345, 8th Grade Math , Limited English Proficient ,2015-2016,---,---,---,---
Academics Plus School District,12345, 8th Grade Math , Limited English Proficient ,2016-2017,---,---,---,---
Academics Plus School District,12345, 8th Grade Math , Female ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, 8th Grade Math , Female ,2015-2016,32.00,24.00,24.00,20.00
Academics Plus School District,12345, 8th Grade Math , Female ,2016-2017,39.44,16.67,27.78,27.78
Academics Plus School District,12345, 8th Grade Math , Male ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, 8th Grade Math , Male ,2015-2016,8.33,45.83,25.00,20.83
Academics Plus School District,12345, 8th Grade Math , Male ,2016-2017,37.45,35.29,17.65,20.59
Academics Plus School District,12345, 8th Grade Math , Migrant ,2014-2015,---,---,---,---
Academics Plus School District,12345, 8th Grade Math , Migrant ,2015-2016,---,---,---,---
Academics Plus School District,12345, 8th Grade Math , Migrant ,2016-2017,---,---,---,---
Academics Plus School District,12345, 9th Grade Literacy , All Students Percentage of Students ,2014-2015,2.27,50,40.91,6.82
Academics Plus School District,12345, 9th Grade Literacy , All Students Percentage of Students ,2015-2016,12.77,19.15,23.40,44.68
Academics Plus School District,12345, 9th Grade Literacy , All Students Percentage of Students ,2016-2017,47.48,8.33,22.92,18.75
Academics Plus School District,12345, 9th Grade Literacy , All Students Number of Students ,2014-2015,,,,
Academics Plus School District,12345, 9th Grade Literacy , All Students Number of Students ,2015-2016,,,,
Academics Plus School District,12345, 9th Grade Literacy , All Students Number of Students ,2016-2017,,4,11,9
Academics Plus School District,12345, 9th Grade Literacy , TAGG ,2014-2015,10.00,50,30.00,10.00
Academics Plus School District,12345, 9th Grade Literacy , TAGG ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 9th Grade Literacy , TAGG ,2016-2017,35.34,30.77,30.77,30.77
Academics Plus School District,12345, 9th Grade Literacy , African American ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, 9th Grade Literacy , African American ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 9th Grade Literacy , African American ,2016-2017,25.62,RV,RV,RV
Academics Plus School District,12345, 9th Grade Literacy , Hispanic ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, 9th Grade Literacy , Hispanic ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 9th Grade Literacy , Hispanic ,2016-2017,40.13,RV,RV,RV
Academics Plus School District,12345, 9th Grade Literacy , Caucasian ,2014-2015,0.00,51.43,42.86,5.71
Academics Plus School District,12345, 9th Grade Literacy , Caucasian ,2015-2016,2.78,19.44,27.78,50.00
Academics Plus School District,12345, 9th Grade Literacy , Caucasian ,2016-2017,55.43,2.86,17.14,17.14
Academics Plus School District,12345, 9th Grade Literacy , Economically Disadvantaged ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, 9th Grade Literacy , Economically Disadvantaged ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 9th Grade Literacy , Economically Disadvantaged ,2016-2017,36.37,30.77,30.77,30.77
Academics Plus School District,12345, 9th Grade Literacy , Students with Disabilities ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, 9th Grade Literacy , Students with Disabilities ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 9th Grade Literacy , Students with Disabilities ,2016-2017,4.70,RV,RV,RV
Academics Plus School District,12345, 9th Grade Literacy , Limited English Proficient ,2014-2015,---,---,---,---
Academics Plus School District,12345, 9th Grade Literacy , Limited English Proficient ,2015-2016,---,---,---,---
Academics Plus School District,12345, 9th Grade Literacy , Limited English Proficient ,2016-2017,---,---,---,---
Academics Plus School District,12345, 9th Grade Literacy ,Number of recently arrived LEP students not assessed in 9th Grade Literacy ,2014-2015,,---,---,
Academics Plus School District,12345, 9th Grade Literacy ,Number of recently arrived LEP students not assessed in 9th Grade Literacy ,2015-2016,,,,
Academics Plus School District,12345, 9th Grade Literacy ,Number of recently arrived LEP students not assessed in 9th Grade Literacy ,2016-2017,,,,
Academics Plus School District,12345, 9th Grade Literacy , Female ,2014-2015,5.26,36.84,47.37,10.53
Academics Plus School District,12345, 9th Grade Literacy , Female ,2015-2016,0.00,22.22,38.89,38.89
Academics Plus School District,12345, 9th Grade Literacy , Female ,2016-2017,57.89,4.00,12.00,16.00
Academics Plus School District,12345, 9th Grade Literacy , Male ,2014-2015,0.00,60,36.00,4.00
Academics Plus School District,12345, 9th Grade Literacy , Male ,2015-2016,20.69,17.24,13.79,48.28
Academics Plus School District,12345, 9th Grade Literacy , Male ,2016-2017,37.65,13.04,34.78,21.74
Academics Plus School District,12345, 9th Grade Literacy , Migrant ,2014-2015,---,---,---,---
Academics Plus School District,12345, 9th Grade Literacy , Migrant ,2015-2016,---,---,---,---
Academics Plus School District,12345, 9th Grade Literacy , Migrant ,2016-2017,---,---,---,---
Academics Plus School District,12345, 10th Grade Literacy , All Students Percentage of Students ,2014-2015,3.13,40.63,50.00,6.25
Academics Plus School District,12345, 10th Grade Literacy , All Students Percentage of Students ,2015-2016,15.56,20.00,24.44,40.00
Academics Plus School District,12345, 10th Grade Literacy , All Students Percentage of Students ,2016-2017,47.80,16.67,9.52,21.43
Academics Plus School District,12345, 10th Grade Literacy , All Students Number of Students ,2014-2015,,,,
Academics Plus School District,12345, 10th Grade Literacy , All Students Number of Students ,2015-2016,,,,
Academics Plus School District,12345, 10th Grade Literacy , All Students Number of Students ,2016-2017,,7,4,9
Academics Plus School District,12345, 10th Grade Literacy , TAGG ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, 10th Grade Literacy , TAGG ,2015-2016,15.38,23.08,30.77,30.77
Academics Plus School District,12345, 10th Grade Literacy , TAGG ,2016-2017,34.87,RV,RV,RV
Academics Plus School District,12345, 10th Grade Literacy , African American ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, 10th Grade Literacy , African American ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 10th Grade Literacy , African American ,2016-2017,25.31,RV,RV,RV
Academics Plus School District,12345, 10th Grade Literacy , Hispanic ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, 10th Grade Literacy , Hispanic ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 10th Grade Literacy , Hispanic ,2016-2017,37.23,RV,RV,RV
Academics Plus School District,12345, 10th Grade Literacy , Caucasian ,2014-2015,0.00,38.46,53.85,7.69
Academics Plus School District,12345, 10th Grade Literacy , Caucasian ,2015-2016,15.63,18.75,25.00,40.63
Academics Plus School District,12345, 10th Grade Literacy , Caucasian ,2016-2017,56.46,6.25,6.25,25.00
Academics Plus School District,12345, 10th Grade Literacy , Economically Disadvantaged ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, 10th Grade Literacy , Economically Disadvantaged ,2015-2016,9.09,27.27,36.36,27.27
Academics Plus School District,12345, 10th Grade Literacy , Economically Disadvantaged ,2016-2017,35.92,RV,RV,RV
Academics Plus School District,12345, 10th Grade Literacy , Students with Disabilities ,2014-2015,RV,RV,RV,RV
Academics Plus School District,12345, 10th Grade Literacy , Students with Disabilities ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 10th Grade Literacy , Students with Disabilities ,2016-2017,13.25,RV,RV,RV
Academics Plus School District,12345, 10th Grade Literacy , Limited English Proficient ,2014-2015,---,---,---,---
Academics Plus School District,12345, 10th Grade Literacy , Limited English Proficient ,2015-2016,---,---,---,---
Academics Plus School District,12345, 10th Grade Literacy , Limited English Proficient ,2016-2017,---,---,---,---
Academics Plus School District,12345, 10th Grade Literacy ,Number of recently arrived LEP students not assessed in 10th Grade Literacy ,2014-2015,,---,---,
Academics Plus School District,12345, 10th Grade Literacy ,Number of recently arrived LEP students not assessed in 10th Grade Literacy ,2015-2016,,,,
Academics Plus School District,12345, 10th Grade Literacy ,Number of recently arrived LEP students not assessed in 10th Grade Literacy ,2016-2017,,,,
Academics Plus School District,12345, 10th Grade Literacy , Female ,2014-2015,7.69,23.07,61.54,7.69
Academics Plus School District,12345, 10th Grade Literacy , Female ,2015-2016,5.26,26.32,10.53,57.89
Academics Plus School District,12345, 10th Grade Literacy , Female ,2016-2017,56.64,12.50,6.25,25.00
Academics Plus School District,12345, 10th Grade Literacy , Male ,2014-2015,0.00,52.63,42.11,5.26
Academics Plus School District,12345, 10th Grade Literacy , Male ,2015-2016,23.08,15.38,34.62,26.92
Academics Plus School District,12345, 10th Grade Literacy , Male ,2016-2017,39.21,19.23,11.54,19.23
Academics Plus School District,12345, 10th Grade Literacy , Migrant ,2014-2015,---,---,---,---
Academics Plus School District,12345, 10th Grade Literacy , Migrant ,2015-2016,---,---,---,---
Academics Plus School District,12345, 10th Grade Literacy , Migrant ,2016-2017,---,---,---,---
Academics Plus School District,12345, 9th Grade Mathematics , All Students Percentage of Students ,2014-2015,---,---,---,---
Academics Plus School District,12345, 9th Grade Mathematics , All Students Percentage of Students ,2015-2016,29.79,23.40,36.17,10.64
Academics Plus School District,12345, 9th Grade Mathematics , All Students Percentage of Students ,2016-2017,28.39,18.75,27.08,25.00
Academics Plus School District,12345, 9th Grade Mathematics , All Students Number of Students ,2014-2015,,,,
Academics Plus School District,12345, 9th Grade Mathematics , All Students Number of Students ,2015-2016,,,,
Academics Plus School District,12345, 9th Grade Mathematics , All Students Number of Students ,2016-2017,,9,13,12
Academics Plus School District,12345, 9th Grade Mathematics , TAGG ,2014-2015,---,---,---,---
Academics Plus School District,12345, 9th Grade Mathematics , TAGG ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 9th Grade Mathematics , TAGG ,2016-2017,17.75,38.46,23.08,23.08
Academics Plus School District,12345, 9th Grade Mathematics , African American ,2014-2015,---,---,---,---
Academics Plus School District,12345, 9th Grade Mathematics , African American ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 9th Grade Mathematics , African American ,2016-2017,9.63,RV,RV,RV
Academics Plus School District,12345, 9th Grade Mathematics , Hispanic ,2014-2015,---,---,---,---
Academics Plus School District,12345, 9th Grade Mathematics , Hispanic ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 9th Grade Mathematics , Hispanic ,2016-2017,20.37,RV,RV,RV
Academics Plus School District,12345, 9th Grade Mathematics , Caucasian ,2014-2015,---,---,---,---
Academics Plus School District,12345, 9th Grade Mathematics , Caucasian ,2015-2016,19.44,22.22,47.22,11.11
Academics Plus School District,12345, 9th Grade Mathematics , Caucasian ,2016-2017,35.27,14.29,25.71,25.71
Academics Plus School District,12345, 9th Grade Mathematics , Economically Disadvantaged ,2014-2015,---,---,---,---
Academics Plus School District,12345, 9th Grade Mathematics , Economically Disadvantaged ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 9th Grade Mathematics , Economically Disadvantaged ,2016-2017,18.27,38.46,23.08,23.08
Academics Plus School District,12345, 9th Grade Mathematics , Students with Disabilities ,2014-2015,---,---,---,---
Academics Plus School District,12345, 9th Grade Mathematics , Students with Disabilities ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 9th Grade Mathematics , Students with Disabilities ,2016-2017,2.42,RV,RV,RV
Academics Plus School District,12345, 9th Grade Mathematics , Limited English Proficient ,2014-2015,---,---,---,---
Academics Plus School District,12345, 9th Grade Mathematics , Limited English Proficient ,2015-2016,---,---,---,---
Academics Plus School District,12345, 9th Grade Mathematics , Limited English Proficient ,2016-2017,---,---,---,---
Academics Plus School District,12345, 9th Grade Mathematics , Female ,2014-2015,---,---,---,---
Academics Plus School District,12345, 9th Grade Mathematics , Female ,2015-2016,33.33,22.22,38.89,5.56
Academics Plus School District,12345, 9th Grade Mathematics , Female ,2016-2017,29.12,16.00,24.00,32.00
Academics Plus School District,12345, 9th Grade Mathematics , Male ,2014-2015,---,---,---,---
Academics Plus School District,12345, 9th Grade Mathematics , Male ,2015-2016,27.59,24.14,34.48,13.79
Academics Plus School District,12345, 9th Grade Mathematics , Male ,2016-2017,27.69,21.74,30.43,17.39
